Date,SPY
2023-01-03,367.15081787109375
2023-01-04,369.98529052734375
2023-01-05,365.7624816894531
2023-01-06,374.1501770019531
2023-01-09,373.9381408691406
2023-01-10,376.5604553222656
2023-01-11,381.32305908203125
2023-01-12,382.71136474609375
2023-01-13,384.1961669921875
2023-01-17,383.4924011230469
2023-01-18,377.4377746582031
2023-01-19,374.69012451171875
2023-01-20,381.67022705078125
2023-01-23,386.249755859375
2023-01-24,385.8351745605469
2023-01-25,385.9797668457031
2023-01-26,390.22186279296875
2023-01-27,391.118408203125
2023-01-30,386.21112060546875
2023-01-31,391.8897399902344
2023-02-01,396.0546569824219
2023-02-02,401.82000732421875
2023-02-03,397.5490417480469
2023-02-06,395.1195068359375
2023-02-07,400.2870788574219
2023-02-08,395.9100646972656
2023-02-09,392.4778137207031
2023-02-10,393.3937683105469
2023-02-13,398.01177978515625
2023-02-14,397.8286437988281
2023-02-15,399.12054443359375
2023-02-16,393.62506103515625
2023-02-17,392.6417236328125
2023-02-21,384.76495361328125
2023-02-22,384.2347412109375
2023-02-23,386.2786560058594
2023-02-24,382.1522521972656
2023-02-27,383.4538269042969
2023-02-28,382.0365905761719
2023-03-01,380.5711364746094
2023-03-02,383.53094482421875
2023-03-03,389.6819152832031
2023-03-06,389.9519348144531
2023-03-07,383.9744567871094
2023-03-08,384.6011047363281
2023-03-09,377.5052795410156
2023-03-10,372.05810546875
2023-03-13,371.52777099609375
2023-03-14,377.6692199707031
2023-03-15,375.30706787109375
2023-03-16,381.8919677734375
2023-03-17,377.4266357421875
2023-03-20,381.0557861328125
2023-03-21,386.0592346191406
2023-03-22,379.478271484375
2023-03-23,380.5041809082031
2023-03-24,383.00103759765625
2023-03-27,383.7171936035156
2023-03-28,382.8558654785156
2023-03-29,388.420654296875
2023-03-30,390.6949157714844
2023-03-31,396.20166015625
2023-04-03,397.7113952636719
2023-04-04,395.5048828125
2023-04-05,394.46929931640625
2023-04-06,396.008056640625
2023-04-10,396.4145812988281
2023-04-11,396.52099609375
2023-04-12,394.9048156738281
2023-04-13,400.1501770019531
2023-04-14,399.1727600097656
2023-04-17,400.6051025390625
2023-04-18,400.8663635253906
2023-04-19,400.79864501953125
2023-04-20,398.6114501953125
2023-04-21,398.9211120605469
2023-04-24,399.3372802734375
2023-04-25,392.99822998046875
2023-04-26,391.33367919921875
2023-04-27,399.1242980957031
2023-04-28,402.5309143066406
2023-05-01,402.1244812011719
2023-05-02,397.60491943359375
2023-05-03,394.87579345703125
2023-05-04,392.0788879394531
2023-05-05,399.3372802734375
2023-05-08,399.4437255859375
2023-05-09,397.6919860839844
2023-05-10,399.5501708984375
2023-05-11,398.85333251953125
2023-05-12,398.33074951171875
2023-05-15,399.7049865722656
2023-05-16,397.0339050292969
2023-05-17,401.853515625
2023-05-18,405.7246398925781
2023-05-19,405.13427734375
2023-05-22,405.2987976074219
2023-05-23,400.75018310546875
2023-05-24,397.8468322753906
2023-05-25,401.2921447753906
2023-05-26,406.48919677734375
2023-05-30,406.6440124511719
2023-05-31,404.3890686035156
2023-06-01,408.2312316894531
2023-06-02,414.13470458984375
2023-06-05,413.34112548828125
2023-06-06,414.24114990234375
2023-06-07,412.808837890625
2023-06-08,415.30572509765625
2023-06-09,416.0509033203125
2023-06-12,419.82525634765625
2023-06-13,422.59320068359375
2023-06-14,423.096435546875
2023-06-15,428.341796875
2023-06-16,426.88275146484375
2023-06-20,424.6679992675781
2023-06-21,422.4921875
2023-06-22,424.0172119140625
2023-06-23,420.8116149902344
2023-06-26,419.0923156738281
2023-06-27,423.6869201660156
2023-06-28,423.900634765625
2023-06-29,425.5714111328125
2023-06-30,430.59344482421875
2023-07-03,431.0888671875
2023-07-05,430.4477233886719
2023-07-06,427.0769958496094
2023-07-07,425.99884033203125
2023-07-10,427.0769958496094
2023-07-11,429.796875
2023-07-12,433.2550354003906
2023-07-13,436.6936950683594
2023-07-14,436.42169189453125
2023-07-17,437.93707275390625
2023-07-18,441.1911926269531
2023-07-19,442.17230224609375
2023-07-20,439.2386779785156
2023-07-21,439.2386779785156
2023-07-24,441.200927734375
2023-07-25,442.4054260253906
2023-07-26,442.47344970703125
2023-07-27,439.539794921875
2023-07-28,443.84307861328125
2023-07-31,444.6881408691406
2023-08-01,443.4156799316406
2023-08-02,437.2474060058594
2023-08-03,435.99432373046875
2023-08-04,434.0224304199219
2023-08-07,437.8107604980469
2023-08-08,435.9068908691406
2023-08-09,432.99273681640625
2023-08-10,433.148193359375
2023-08-11,432.8956298828125
2023-08-14,435.2851867675781
2023-08-15,430.2145690917969
2023-08-16,427.0575866699219
2023-08-17,423.80352783203125
2023-08-18,424.00750732421875
2023-08-21,426.7662353515625
2023-08-22,425.6102600097656
2023-08-23,430.3505554199219
2023-08-24,424.3863525390625
2023-08-25,427.3782043457031
2023-08-28,430.0883483886719
2023-08-29,436.3051452636719
2023-08-30,438.1021728515625
2023-08-31,437.4610900878906
2023-09-01,438.2770080566406
2023-09-05,436.38287353515625
2023-09-06,433.44927978515625
2023-09-07,432.1185302734375
2023-09-08,432.7693176269531
2023-09-11,435.615478515625
2023-09-12,433.2258605957031
2023-09-13,433.7309875488281
2023-09-14,437.4708251953125
2023-09-15,432.2000427246094
2023-09-18,432.4534912109375
2023-09-19,431.5566101074219
2023-09-20,427.5892028808594
2023-09-21,420.5218200683594
2023-09-22,419.5762939453125
2023-09-25,421.3406677246094
2023-09-26,415.15069580078125
2023-09-27,415.31640625
2023-09-28,417.7241516113281
2023-09-29,416.7103576660156
2023-10-02,416.544677734375
2023-10-03,410.96875
2023-10-04,413.9613952636719
2023-10-05,413.80535888671875
2023-10-06,418.71844482421875
2023-10-09,421.3991394042969
2023-10-10,423.5924987792969
2023-10-11,425.32763671875
2023-10-12,422.7346496582031
2023-10-13,420.6290283203125
2023-10-16,425.0547180175781
2023-10-17,425.03521728515625
2023-10-18,419.3715515136719
2023-10-19,415.6867980957031
2023-10-20,410.57879638671875
2023-10-23,409.8672180175781
2023-10-24,412.9573059082031
2023-10-25,407.0304870605469
2023-10-26,402.1565246582031
2023-10-27,400.3335876464844
2023-10-30,405.1198425292969
2023-10-31,407.6641845703125
2023-11-01,412.0118103027344
2023-11-02,419.90771484375
2023-11-03,423.7386779785156
2023-11-06,424.7135009765625
2023-11-07,425.9222412109375
2023-11-08,426.2342529296875
2023-11-09,422.9100646972656
2023-11-10,429.50958251953125
2023-11-13,429.10009765625
2023-11-14,437.4250183105469
2023-11-15,438.3510437011719
2023-11-16,438.8871765136719
2023-11-17,439.43310546875
2023-11-20,442.8156433105469
2023-11-21,441.8505859375
2023-11-22,443.5565185546875
2023-11-24,443.8294677734375
2023-11-27,443.0301208496094
2023-11-28,443.4687805175781
2023-11-29,443.1568603515625
2023-11-30,444.9017028808594
2023-12-01,447.53375244140625
2023-12-04,445.1844482421875
2023-12-05,445.0967102050781
2023-12-06,443.3031311035156
2023-12-07,446.6856689453125
2023-12-08,448.60601806640625
2023-12-11,450.3509216308594
2023-12-12,452.4078063964844
2023-12-13,458.6465148925781
2023-12-14,460.1185302734375
2023-12-15,459.36090087890625
2023-12-18,461.94488525390625
2023-12-19,464.7538757324219
2023-12-20,458.3136291503906
2023-12-21,462.6593322753906
2023-12-22,463.5891418457031
2023-12-26,465.5466613769531
2023-12-27,466.388427734375
2023-12-28,466.5645446777344
2023-12-29,465.2138977050781
2024-01-02,462.61041259765625
2024-01-03,458.8323974609375
2024-01-04,457.3544616699219
2024-01-05,457.9808654785156
2024-01-08,464.51898193359375
2024-01-09,463.8143005371094
2024-01-10,466.4373474121094
2024-01-11,466.2317810058594
2024-01-12,466.55474853515625
2024-01-16,464.8419494628906
2024-01-17,462.2580261230469
2024-01-18,466.3688049316406
2024-01-19,472.1826477050781
