Date,GOOG,JPM,WMT,AMD,NKE
2024-09-30,0.05548249747188483,-0.042850658858812674,0.04639112067160012,0.1981889798874581,0.0870634182119625
2024-10-31,0.032896766752667395,0.05890120253254416,0.014860624463537642,-0.12195267115756914,-0.12748865397163067
2024-11-30,-0.012739685568884274,0.12527048036076294,0.12873697030954645,-0.04782407370141928,0.02126271558237547
2024-12-31,0.11828287074058919,-0.04008482759808363,-0.021079139614580855,-0.11947800433982314,-0.03445203268774988
2025-01-31,0.07960516019316799,0.12085636135736855,0.08644174720318287,-0.04006957472142081,0.016254906464433283
2025-02-28,-0.1623540117697465,-0.009913923289519566,0.004584252804615163,-0.1387666818574641,0.03289992447758627
2025-03-31,-0.09181295547616719,-0.0731153830924477,-0.10728030992720072,0.02884034884653719,-0.19676073198929178
2025-04-30,0.02982774744513339,0.003370253974493309,0.10775713439097712,-0.05246252191668754,-0.11153114299364497
2025-05-31,0.07433656056444637,0.07922494172677741,0.01757002807026775,0.13744227110973517,0.07429070882612598
2025-06-30,0.027499174200301235,0.09814391904778264,-0.00952191203271846,0.28149543569574065,0.18026246374038912
2025-07-31,0.08720892290605686,0.026757132553370422,0.0020454615842073753,0.24249475082579175,0.05137956962026702
2025-08-31,0.10717615619782905,0.017485926312696964,-0.007894393838521863,-0.07759056698548761,0.035881655030646664
