timestamp,Open,High,Low,Close,AdjClose,Volume
2008-09-02,130.029999,130.710007,127.519997,127.989998,97.854706,2.523649e8
2008-09-03,127.879997,128.5,126.93,127.879997,97.770615,2.51947e8
2008-09-04,126.970001,127.230003,123.959999,124.029999,94.827057,3.400425e8
2008-09-05,123.290001,124.949997,122.0,124.419998,95.125267,2.895034e8
2008-09-08,128.039993,128.240005,124.419998,126.989998,97.090111,3.640753e8
2008-09-09,127.099998,127.360001,122.800003,123.220001,94.207802,3.773268e8
2008-09-10,123.889999,124.900002,122.550003,123.720001,94.590034,2.989166e8
2008-09-11,122.120003,125.739998,121.599998,125.510002,95.958603,3.753694e8
2008-09-12,124.290001,126.209999,123.830002,126.089996,96.402069,2.978512e8
2008-09-15,121.629997,125.650002,119.889999,120.089996,91.814766,4.83607e8
2008-09-16,117.199997,122.32,117.0,122.099998,93.351479,5.817443e8
2008-09-17,119.639999,121.849998,116.0,116.610001,89.154091,6.240956e8
2008-09-18,118.050003,121.790001,113.800003,120.07,91.799423,7.761147e8
2008-09-19,126.699997,128.0,123.330002,124.120003,95.445168,5.010878e8
2008-09-22,124.449997,124.75,120.360001,121.309998,93.284325,2.499665e8
2008-09-23,120.849998,122.019997,118.279999,118.550003,91.161987,3.274704e8
2008-09-24,119.349998,120.0,117.790001,118.93,91.454201,3.118184e8
2008-09-25,119.400002,121.910004,118.440002,120.790001,92.884483,3.28253e8
2008-09-26,118.830002,121.5,118.510002,120.849998,92.930611,2.859174e8
2008-09-29,119.139999,119.339996,110.970001,111.379997,85.648422,4.595623e8
2008-09-30,113.510002,116.800003,110.529999,115.989998,89.193382,3.281544e8
2008-10-01,115.269997,116.690002,113.949997,116.059998,89.247208,3.32783e8
2008-10-02,114.949997,115.110001,111.059998,111.849998,86.009819,3.653378e8
2008-10-03,112.860001,115.449997,109.68,110.339996,84.848694,4.61798e8
2008-10-06,107.150002,107.620003,100.639999,104.720001,80.527069,6.106375e8
2008-10-07,106.839996,107.330002,99.650002,100.029999,76.920563,5.400121e8
2008-10-08,97.519997,102.18,96.809998,97.510002,74.982742,7.254148e8
2008-10-09,99.660004,100.620003,90.25,90.699997,69.746033,5.344852e8
2008-10-10,86.760002,93.940002,83.580002,88.5,68.054253,8.710263e8
2008-10-13,93.870003,101.349998,89.949997,101.349998,77.935608,4.55584e8
2008-10-14,104.699997,105.529999,97.110001,99.849998,76.782127,5.462683e8
2008-10-15,97.459999,97.800003,89.709999,90.019997,69.223129,4.846275e8
2008-10-16,91.290001,94.769997,86.540001,93.769997,72.106766,7.088112e8
2008-10-17,91.989998,98.589996,91.650002,93.209999,71.67614,4.76649e8
2008-10-20,95.349998,99.099998,94.089996,98.809998,75.982399,3.212942e8
2008-10-21,96.970001,98.639999,95.220001,95.860001,73.713921,3.56502e8
2008-10-22,93.199997,95.860001,87.529999,90.639999,69.699898,5.16168e8
2008-10-23,90.290001,92.449997,85.809998,91.690002,70.507317,6.346664e8
2008-10-24,84.059998,89.919998,84.0,87.040001,66.931557,5.458126e8
2008-10-27,85.970001,89.510002,83.699997,83.949997,64.555443,3.972886e8
2008-10-28,87.339996,94.239998,84.529999,93.760002,72.099091,6.399395e8
2008-10-29,93.769997,97.169998,92.099998,93.080002,71.576195,5.312701e8
2008-10-30,95.779999,96.540001,92.900002,96.300003,74.052292,4.145821e8
2008-10-31,95.080002,98.57,94.480003,96.830002,74.459839,4.11394e8
2008-11-03,96.779999,97.690002,95.949997,97.110001,74.675133,2.054194e8
2008-11-04,99.059998,100.860001,96.709999,100.410004,77.212769,3.467934e8
2008-11-05,99.199997,100.709999,95.0,96.190002,73.96769,3.878441e8
2008-11-06,94.459999,95.440002,90.059998,90.860001,69.869049,4.777219e8
2008-11-07,91.650002,94.0,90.5,93.860001,72.175941,3.80391e8
2008-11-10,95.209999,95.529999,90.919998,92.629997,71.230118,3.01773e8
2008-11-11,90.760002,92.139999,88.650002,89.769997,69.030876,4.184982e8
2008-11-12,88.230003,88.949997,85.120003,85.82,65.993423,4.543306e8
2008-11-13,86.129997,91.730003,82.089996,91.169998,70.107422,7.531419e8
2008-11-14,89.410004,92.059998,86.519997,86.620003,66.608604,5.403523e8
2008-11-17,86.379997,88.559998,85.160004,85.470001,65.724289,4.152549e8
2008-11-18,85.150002,87.220001,82.910004,87.080002,66.962349,5.238118e8
2008-11-19,85.910004,86.870003,80.919998,81.5,62.671444,5.583276e8
2008-11-20,80.129997,82.510002,75.050003,75.449997,58.019154,8.141804e8
2008-11-21,77.459999,80.900002,74.339996,79.519997,61.148895,7.185365e8
2008-11-24,81.919998,86.989998,80.360001,85.029999,65.38591,5.233053e8
2008-11-25,87.300003,87.510002,83.82,85.660004,65.87043,4.541124e8
